SHOT_ID,HUMAN PLAYER POSITION (X) metres,HUMAN PLAYER POSITION (Y) metres,INITITAL VELOCITY OF SHUTTELCOCK(m/s),INITIAL SHUTTELCOCK FIRING ANGLE (DEGREE),SHUTTELCOCK SLANT ANGLE TO SIDELINE(DEGREE),SHUTTLECOCK POSITIION IN AIR(X ) metres,SHUTTLECOCK POSITIION IN AIR(Y) metres,SHUTTLECOCK POSITIION IN AIR(Z) metres,OUT_OF_COURT_SHOTS
1,4,1,10,40,0,4.074748329,1.0,2.664781091,1
1,4,1,10,40,0,4.152551792,1.0,2.727644939,1
1,4,1,10,40,0,4.225974971,1.0,2.787370654,1
1,4,1,10,40,0,4.30233639,1.0,2.847031012,1
1,4,1,10,40,0,4.377310792,1.0,2.905657623,1
1,4,1,10,40,0,4.449792025,1.0,2.962527126,1
1,4,1,10,40,0,4.521328124,1.0,3.018137495,1
1,4,1,10,40,0,4.596719272,1.0,3.072491341,1
1,4,1,10,40,0,4.667687448,1.0,3.128715084,1
1,4,1,10,40,0,4.740363431,1.0,3.180636633,1
1,4,1,10,40,0,4.811829587,1.0,3.231387521,1
1,4,1,10,40,0,4.883913882,1.0,3.28111082,1
1,4,1,10,40,0,4.951933525,1.0,3.33306383,1
1,4,1,10,40,0,5.020133698,1.0,3.380587458,1
1,4,1,10,40,0,5.088758563,1.0,3.428578518,1
1,4,1,10,40,0,5.157091921,1.0,3.4755865,1
1,4,1,10,40,0,5.225086644,1.0,3.521658014,1
1,4,1,10,40,0,5.295576734,1.0,3.569247733,1
1,4,1,10,40,0,5.358335565,1.0,3.610401053,1
1,4,1,10,40,0,5.42752058,1.0,3.654133332,1
1,4,1,10,40,0,5.491799977,1.0,3.694956819,1
1,4,1,10,40,0,5.557451999,1.0,3.736402398,1
1,4,1,10,40,0,5.622843645,1.0,3.776821688,1
1,4,1,10,40,0,5.684913791,1.0,3.817253123,1
1,4,1,10,40,0,5.749942553,1.0,3.857046099,1
1,4,1,10,40,0,5.815702342,1.0,3.896288939,1
1,4,1,10,40,0,5.87478781,1.0,3.932788775,1
1,4,1,10,40,0,5.938005985,1.0,3.967327833,1
1,4,1,10,40,0,6.000102241,1.0,4.00359319,1
1,4,1,10,40,0,6.060720113,1.0,4.039573366,1
1,4,1,10,40,0,6.121201512,1.0,4.073604946,1
1,4,1,10,40,0,6.180222753,1.0,4.104762579,1
1,4,1,10,40,0,6.240697899,1.0,4.137666053,1
1,4,1,10,40,0,6.299229054,1.0,4.168929705,1
1,4,1,10,40,0,6.357542648,1.0,4.20088747,1
1,4,1,10,40,0,6.417398415,1.0,4.229697587,1
1,4,1,10,40,0,6.472850501,1.0,4.258227717,1
1,4,1,10,40,0,6.528784974,1.0,4.288550738,1
1,4,1,10,40,0,6.585842691,1.0,4.315960103,1
1,4,1,10,40,0,6.641919451,1.0,4.341151044,1
1,4,1,10,40,0,6.697246746,1.0,4.367141635,1
1,4,1,10,40,0,6.751664764,1.0,4.393836721,1
1,4,1,10,40,0,6.806377007,1.0,4.417717815,1
1,4,1,10,40,0,6.860211253,1.0,4.440688379,1
1,4,1,10,40,0,6.911717468,1.0,4.463288368,1
1,4,1,10,40,0,6.965490024,1.0,4.485630659,1
1,4,1,10,40,0,7.017466039,1.0,4.507054455,1
1,4,1,10,40,0,7.069092425,1.0,4.526090886,1
1,4,1,10,40,0,7.119504779,1.0,4.545306435,1
1,4,1,10,40,0,7.170293818,1.0,4.563212754,1
1,4,1,10,40,0,7.219860457,1.0,4.581205598,1
1,4,1,10,40,0,7.270026949,1.0,4.596212074,1
1,4,1,10,40,0,7.31817063,1.0,4.610832898,1
1,4,1,10,40,0,7.36702688,1.0,4.625748902,1
1,4,1,10,40,0,7.41495024,1.0,4.639068923,1
1,4,1,10,40,0,7.461447044,1.0,4.649766438,1
1,4,1,10,40,0,7.508392754,1.0,4.660527702,1
1,4,1,10,40,0,7.556528366,1.0,4.672088635,1
1,4,1,10,40,0,7.60141923,1.0,4.676779482,1
1,4,1,10,40,0,7.646436533,1.0,4.687123883,1
1,4,1,10,40,0,7.689157033,1.0,4.694325155,1
1,4,1,10,40,0,7.733716049,1.0,4.700060877,1
1,4,1,10,40,0,7.77871588,1.0,4.703605968,1
1,4,1,10,40,0,7.820812209,1.0,4.707327095,1
1,4,1,10,40,0,7.865273595,1.0,4.706824587,1
1,4,1,10,40,0,7.90733753,1.0,4.707547298,1
1,4,1,10,40,0,7.94748152,1.0,4.705994992,1
1,4,1,10,40,0,7.987619412,1.0,4.703481552,1
1,4,1,10,40,0,8.028589342,1.0,4.701160845,1
1,4,1,10,40,0,8.06871743,1.0,4.694058111,1
1,4,1,10,40,0,8.107246166,1.0,4.687428824,1
1,4,1,10,40,0,8.147780693,1.0,4.677958187,1
1,4,1,10,40,0,8.183407526,1.0,4.668277363,1
1,4,1,10,40,0,8.222017627,1.0,4.656655298,1
1,4,1,10,40,0,8.260288091,1.0,4.64306366,1
1,4,1,10,40,0,8.295394739,1.0,4.628804454,1
1,4,1,10,40,0,8.331626846,1.0,4.61153743,1
1,4,1,10,40,0,8.366681766,1.0,4.591183931,1
1,4,1,10,40,0,8.404278057,1.0,4.570505773,1
1,4,1,10,40,0,8.435879951,1.0,4.549589449,1
1,4,1,10,40,0,8.470333313,1.0,4.525318914,1
1,4,1,10,40,0,8.506621469,1.0,4.496797744,1
1,4,1,10,40,0,8.538185579,1.0,4.469175983,1
1,4,1,10,40,0,8.571491308,1.0,4.437361344,1
1,4,1,10,40,0,8.603340857,1.0,4.404269458,1
1,4,1,10,40,0,8.636829825,1.0,4.371867172,1
1,4,1,10,40,0,8.664900665,1.0,4.334739108,1
